Geographicregion;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Albania;;;;;;;;;;;;6.8;;
Austria;25.5;25.1;24.3;24;23.5;22.9;22.3;22.2;21.8;20.8;20.7;20.4;19.9;18.9
Belgium;10.1;10.2;10.1;10.2;9.4;8.3;7.5;6.6;6.4;6;5.8;5.8;5.8;5.3
Bulgaria;12.1;12.3;13.3;13;13.2;15.1;14.1;14.2;15.5;14.6;14.3;13.9;14.1;12.7
Switzerland;;18.4;18.4;17.8;17.6;17.4;17.6;17.4;17.9;17.4;17.6;18.6;18.6;18.4
Cyprus;22;19.5;17.8;16.8;16.1;15.6;14.9;14.2;13.2;12.3;11.2;10.4;10.1;9
Czechia;23.6;26.2;25.9;21.6;22.6;22.5;22.3;22.5;22.5;21.5;21.1;20.1;19.2;16.4
Germany;22.8;22.8;22.6;22.3;22.4;22.7;22.1;22.3;21.8;21.1;20.4;20.1;19.2;18.3
Denmark;17.7;17.1;16.8;17.1;16.4;16.8;16.5;16;15.1;15.1;14.8;14.6;14;13.9
Euro area (19 countries);;;;17;17.3;17.6;17.1;16.8;16.5;16.2;15.7;15.3;14.6;14.1
Estonia;30.9;27.6;26.6;27.7;27.3;29.9;29.8;28.1;26.7;24.8;24.9;21.8;21.7;21.1
Greece;21.5;22;;15;;;;12.5;;;;10.4;;
Spain;18.1;16.1;16.7;16.2;17.6;18.7;17.8;14.9;14.1;14.8;13.5;11.9;9.4;9.4
European Union - 27 countries (from 2020);;;;15.8;16.2;16.4;16;15.7;15.5;15.1;14.6;14.4;13.7;13
European Union - 28 countries (1993-2020);;;;17.1;17.1;17.4;16.8;16.6;16.4;16.1;15.7;15.3;;
Finland;20.2;20.5;20.8;20.3;19.1;19.2;18.8;18.4;17.5;17.5;17.1;16.9;16.6;16.7
France;17.3;16.9;15.2;15.6;15.7;15.6;15.5;15.5;15.6;15.9;16.3;16.7;16.2;15.8
Croatia;;;;5.7;;;7.7;8.7;;11.6;12.3;11.4;11.5;11.2
Hungary;16.3;17.5;17.1;17.6;18;20.1;18.4;15.1;14;14;15.9;14.2;18.2;17.2
Ireland;17.3;12.6;12.6;13.9;12.7;12.2;12.9;13.9;13.9;14.2;14.4;11.3;;
Iceland;24;20.7;18;17.7;17.8;17.7;19;16.7;17.5;15.8;15.3;13.8;14.2;13
Italy;5.1;4.9;5.5;5.3;5.7;6.5;7;6.1;5.5;5.3;5;5.5;4.7;4.2
Lithuania;22.6;21.6;15.3;11.9;11.5;11.9;12.2;13.3;14.2;14.4;15.2;14;13.3;13
Luxembourg;10.2;9.7;9.2;8.7;7.9;7;6.2;5.4;4.7;3.9;2.6;1.4;1.3;0.7
Latvia;13.6;11.8;13.1;15.5;14.1;14.9;16;17.3;18.4;19.7;19.8;19.6;21.2;22.3
Montenegro;;;;;;;;7.7;;;;;;
North Macedonia;;;;;;;;9.1;;;;;;
Malta;7.8;9.2;7.7;7.2;7.7;9.5;9.7;10.6;10.7;11.6;13.2;13;11.6;10
Netherlands;19.3;18.9;18.5;17.8;18.8;18;17.2;17;16.1;15.6;15.1;14.7;14.6;14.2
Norway;15.6;17;16.5;16.1;15.7;14.7;15.5;14.5;16;14.5;13.7;13.2;13.2;13.4
Poland;14.9;11.4;8;4.5;5.5;6.4;7.1;7.7;7.3;7.1;7;8.5;6.5;4.5
Portugal;8.5;9.2;10;12.8;12.9;15;13.3;14.9;16;13.9;10.8;8.9;10.9;11.4
Romania;12.5;8.5;7.4;8.8;9.6;6.9;4.9;4.5;5.6;4.8;2.9;2.2;3.3;2.4
Serbia;;;;;;;;8.7;;;;9.6;;
Sweden;17.8;16.9;15.7;15.4;15.6;15.5;14.6;13.8;14;13.3;12.5;12.1;11.8;11.2
Slovenia;5;4.1;-0.9;0.9;3.3;4.5;6.3;7;8.2;8.1;8.4;9.3;7.9;3.1
Slovakia;23.6;20.9;21.9;19.6;20.1;20.8;18.8;19.7;19.7;19.2;20.1;19.8;18.4;15.8
Turkey;;;;;;;;-1.3;;;;;;
UK;20.8;21.4;20.6;23.3;21.8;22.6;21;20.9;21;20.7;20.8;19.8;;
