freq,category,sex,unit,geo,2017,2018,2019,2020,2021
A,HRST,F,PC_ACT,Austria,49.7,49.6,50.9,52.2,52.6 
A,HRST,F,PC_ACT,Belgium,57.8 ,57.8,57.9,60.7,62.7 
A,HRST,F,PC_ACT,Bulgaria,43.6,44.1,43.3,45.0,45.8 
A,HRST,F,PC_ACT,Switzerland,52.5,53.9,55.3,56.1,55.6 
A,HRST,F,PC_ACT,Cyprus,55.5,56.0,57.6,58.2,58.2 
A,HRST,F,PC_ACT,Czechia,41.7,41.9,41.4,42.8,44.6 
A,HRST,F,PC_ACT,Germany,50.1,51.0,52.2,51.5 ,52.7 
A,HRST,F,PC_ACT,Denmark,54.9 ,55.8,55.8,56.7,58.2 
A,HRST,F,PC_ACT,Estonia,57.4,58.1,59.8,60.7,62.0 
A,HRST,F,PC_ACT,Greece,42.7,43.2,43.8,45.8,47.2 
A,HRST,F,PC_ACT,Spain,46.9,47.8,49.3,51.1,51.8 
A,HRST,F,PC_ACT,Finland,57.9,59.0,60.0,62.0,58.3 
A,HRST,F,PC_ACT,France,51.3,52.9,54.2,56.2,57.5 
A,HRST,F,PC_ACT,Croatia,41.2,43.2,44.6,44.8,43.9 
A,HRST,F,PC_ACT,Hungary,42.8,43.9,45.0,46.4,48.4 
A,HRST,F,PC_ACT,Ireland,59.1 ,59.4,59.8,62.7,64.0 
A,HRST,F,PC_ACT,Iceland,58.7,61.5,59.5,59.1 ,60.7 
A,HRST,F,PC_ACT,Italy,39.9,40.5,40.9,42.2,41.3 
A,HRST,F,PC_ACT,Lithuania,57.4,58.0,58.8,59.1,60.6 
A,HRST,F,PC_ACT,Luxembourg,58.3,61.7,63.6,65.0,68.1 
A,HRST,F,PC_ACT,Latvia,53.3,53.6,55.5,55.7,58.4 
A,HRST,F,PC_ACT,Montenegro,43.3,43.3,44.6,45.6, 
A,HRST,F,PC_ACT,North Macedonia,39.9,40.3,39.2,43.6, 
A,HRST,F,PC_ACT,Malta,45.8,48.8,48.9,49.9,53.6 
A,HRST,F,PC_ACT,Netherlands,52.1,53.3,55.0 ,56.9,58.0 
A,HRST,F,PC_ACT,Norway,59.1,59.3,59.3,60.7,61.3 
A,HRST,F,PC_ACT,Poland,52.4,53.8,55.0,55.8,56.1 
A,HRST,F,PC_ACT,Portugal,39.1,40.3,40.4,43.4,47.8 
A,HRST,F,PC_ACT,Romania,32.3,32.6,32.9,33.5,38.2 
A,HRST,F,PC_ACT,Serbia,39.4,40.0,40.5,40.8,42.2 
A,HRST,F,PC_ACT,Sweden,59.0,60.8 ,61.6,62.8,63.1 
A,HRST,F,PC_ACT,Slovenia,54.0,53.4,54.1,57.3,62.5 
A,HRST,F,PC_ACT,Slovakia,40.1,41.7,43.3,45.7,48.6 
A,HRST,F,PC_ACT,Turkiye,32.0,32.5,34.1,37.7, 
A,HRST,F,PC_ACT,UK,56.4,57.4,58.9, , 
A,HRST,M,PC_ACT,Austria,46.9,47.7,48.2,48.8,49.0 
A,HRST,M,PC_ACT,Belgium,48.1 ,48.1,48.2,50.0,51.5 
A,HRST,M,PC_ACT,Bulgaria,28.7,29.2,29.3,30.6,30.8 
A,HRST,M,PC_ACT,Switzerland,55.2,55.8,57.0,56.9,56.0 
A,HRST,M,PC_ACT,Cyprus,44.3,45.2,44.6,45.0,48.0 
A,HRST,M,PC_ACT,Czechia,36.4,37.0,37.1,37.6,38.7 
A,HRST,M,PC_ACT,Germany,44.1,44.5,45.4,46.8 ,46.7 
A,HRST,M,PC_ACT,Denmark,47.2 ,48.0,48.8,49.4,49.5 
A,HRST,M,PC_ACT,Estonia,37.8,38.9,41.4,41.8,44.1 
A,HRST,M,PC_ACT,Greece,32.9,33.8,33.8,34.6,36.7 
A,HRST,M,PC_ACT,Spain,39.9,40.8,41.8,43.0,43.4 
A,HRST,M,PC_ACT,Finland,47.4,48.3,49.8,51.4,47.6 
A,HRST,M,PC_ACT,France,47.4,48.3,49.4,51.0,49.6 
A,HRST,M,PC_ACT,Croatia,31.6,33.1,32.6,32.9,31.2 
A,HRST,M,PC_ACT,Hungary,29.1,29.7,30.7,32.6,33.5 
A,HRST,M,PC_ACT,Ireland,47.7 ,47.8,48.5,51.2,52.8 
A,HRST,M,PC_ACT,Iceland,42.3,42.3,44.0,44.4 ,43.6 
A,HRST,M,PC_ACT,Italy,31.3,32.1,32.5,33.0,31.9 
A,HRST,M,PC_ACT,Lithuania,38.1,39.7,41.9,42.4,44.4 
A,HRST,M,PC_ACT,Luxembourg,52.9,56.9,59.7,60.2,62.9 
A,HRST,M,PC_ACT,Latvia,33.2,33.5,36.4,37.7,37.8 
A,HRST,M,PC_ACT,Montenegro,28.8,28.6,30.4,30.3, 
A,HRST,M,PC_ACT,North Macedonia,23.6,23.7,25.4,27.2, 
A,HRST,M,PC_ACT,Malta,38.4,40.8,42.7,43.4,44.2 
A,HRST,M,PC_ACT,Netherlands,48.1,49.3,50.8 ,52.8,54.9 
A,HRST,M,PC_ACT,Norway,50.2,50.4,50.1,50.6,51.7 
A,HRST,M,PC_ACT,Poland,34.0,35.2,35.9,36.5,36.8 
A,HRST,M,PC_ACT,Portugal,30.5,31.4,33.1,35.2,38.6 
A,HRST,M,PC_ACT,RO,20.9,21.1,21.6,21.6,22.6 
A,HRST,M,PC_ACT,Serbia,26.8,27.5,27.2,27.3,28.0 
A,HRST,M,PC_ACT,Sweden,50.2,50.8 ,51.2,52.1,52.4 
A,HRST,M,PC_ACT,Slovenia,37.9,38.4,39.7,41.9,46.1 
A,HRST,M,PC_ACT,Slovakia,29.2,30.9,32.1,32.9,34.0 
A,HRST,M,PC_ACT,Turkiye,24.0,24.7,25.9,27.5, 
A,HRST,M,PC_ACT,UK,51.2,51.6,53.0, , 
