Geographicregion;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Austria;;;;10;10,3;10,4;9,6;15,5;;;;;19,9;20,4;20,4;20,1;22;23,9;24,4;24,3;26,5;27,8;41,6;40;42;44;44,2;45,6;45,4;45,1
Belgium;27,9;30,4;31,3;31,7;33,1;34,7;36;35,8;37,1;37,9;39;41,3;44,1;43,4;46,2;46,4;48,6;47,7;50;48,1;50,7;49,3;50,2;48,7;50,7;50,9;54,5;55,2;55,5;56,4
Bulgaria;;;;;;;;;23,1;28,3;28,8;29,5;31,8;31,5;32,8;33,2;34,5;35,6;35,9;34,2;33,6;37,6;39;39,9;41;40,5;40,8;39;40,2;38,4
Switzerland;;;;;15,3;17;17,4;15,8;17,7;17,6;20,8;23,2;23,7;25,4;27,3;29,7;34,4;38,1;38,9;39,7;39,3;42,3;46;50;50,1;51,6;54,9;57,1;57,2;57,4
Cyprus;;;;;;;;29,9;31,5;32,3;36,1;37,7;38,7;42,5;46,8;48;52,9;49,3;48,9;52;55,5;53,4;58,2;61,6;62,1;63,6;64,4;68,2;70,4;69,1
Czechia;;;;;;;11;10,7;13;12,5;11,4;10,8;12,1;13;12,4;13,7;15,9;18,7;22,3;26,1;29,1;29,6;32,5;35,9;38,7;41;40,6;41;41,2;45
Germany;20,9;21,1;20,5;20,5;20;20,5;;20,9;22,6;21,9;21,4;22,5;24,3;24,1;24,4;25,7;27;29,2;29,4;31,3;32,6;33,7;30,8;32,4;33;34,2;35,4;35,9;36,6;38,6
Denmark;25;29,4;31,1;29,3;30,8;29,8;29,2;30;33,6;37,8;39,4;41,1;44;47,3;47,4;41,6;41,3;46,3;46,4;47,9;52,7;51,1;49,1;53,6;53,4;56;56,1;57,5;58;61,2
Euro area (19 countries);;;;;;;;;23,7;24,3;25,8;27,6;29,9;31,2;32,8;33,9;35;36;37,3;37,9;39,1;40,1;40,4;41,6;42,1;43,2;44,2;45,1;45,7;46,8
Estonia;;;;;;;43,1;37,3;38,9;35,7;32,7;33,8;35,4;36,8;38,5;42,9;40,1;43,2;48,6;50,4;51,3;53,7;54,2;54,6;51,1;54,2;54,7;57,5;53,7;53,8
Greece;14,6;17;17,8;20;21,5;23,6;26,6;27,1;26,9;26,4;24,9;24,1;26,7;27,5;28,2;27,2;27,8;29;31,1;31,5;34,2;39;41,6;45,5;48,8;50,5;51,3;49,3;48,5;48,6
Spain;18,1;20,5;21,8;24,5;26,4;27,9;30,2;30,7;30,4;33,3;37,2;37,8;40,6;44,6;44,8;46,3;46,5;46,5;47,5;46,7;47,1;47,5;47,8;47,1;46,6;47,5;48,6;50,8;50,9;52,1
European Union - 15 countries (1995-2004);;;;20,3;20,7;21,4;;23,4;24,5;25,3;27;28,6;31;32,4;34;35,4;36,4;37,5;38,9;39,9;41,2;42,1;42,5;43,4;43,7;44,6;45,7;46,7;;
European Union - 27 countries (from 2020);;;;;;;;;;;23,7;25,5;27,9;29,4;30,9;32;33,4;34,8;36,3;37,3;38,8;40,1;41;42,2;42,9;43,9;44,8;45,6;46,2;47
European Union - 28 countries (1993-2020);;;;;;;;;;;24,5;26,1;28,6;30;31,6;32,9;34,3;35,6;37,3;38,7;40,2;41,4;42,3;43,4;43,9;44,9;45,8;46,7;;
Finland;;;;28,5;24,6;28,2;43;45,4;47,9;49,6;49,3;50,2;52,1;52,1;55,3;55,4;56,6;55,5;54;55;55,4;52,9;52,6;53,4;54,4;52;52,5;56,6;57,6;52,6
France;;21,3;23,2;23,7;23,2;23,3;26,6;27,3;29;30,6;34;37,5;38,7;40,5;44,1;45;44,9;47,1;47,2;47,2;48,2;48,4;47,9;49,5;48,8;49,5;51,1;52,3;52,1;53,9
Croatia;;;;;;;;;;;17,6;20,1;19,5;21,3;19,1;21,4;21,8;24,3;27,6;28,5;27,8;29,7;38,9;38,1;36,7;35,4;41,9;41,8;41,4;41,3
Hungary;;;;;;16,1;15,5;18,3;17,1;16;16,1;17,9;21,5;20,7;23,6;24,8;26,6;28,9;30,8;32,9;35,1;37,8;40,3;41;39,6;37,5;40,5;39,8;39,3;42
Ireland;19,9;20,6;21,8;25,1;28,3;28,7;;25;29,2;32,5;33;36,3;41,5;42,9;47,2;50,3;53,9;56,2;56,7;57,1;58,7;59,4;61,7;60,9;61;60,3;60,4;59,7;61,2;65,4
Iceland;;;;;;;;28,7;34,2;33,2;33,5;42,7;44,8;49,2;42,2;37,4;41,3;45,9;47,5;53,1;51,2;52,2;52,6;55;55,8;65,7;63,6;65,7;55,9;53,6
Italy;8,2;8,4;8,5;8,7;9,4;9,7;10,5;11,4;12,5;12,9;14,2;15,7;18,4;20,1;21,1;22,2;23,5;23;24,2;24,8;26,5;27,3;29,1;30,8;32,5;34,1;34;33,8;34,3;33,3
Lithuania;;;;;;;56;51,2;47,9;27,4;29,6;30,7;35;41,2;43,4;42,7;48,3;48;50,8;52,9;56,7;60,8;62,7;68,4;68,8;68,1;68,2;69,5;70,9;72,6
Luxembourg;10,2;17,8;24;16,4;16,3;21,8;;20,4;17,7;21,7;21,5;16,3;29,6;38,5;38,9;38,1;42,7;44,9;47,4;47,4;48,9;55,6;55,4;57,7;56,5;55,6;59,8;57,9;65,7;67,8
Latvia;;;;;;;20,1;20,6;23,5;19,3;21,9;23,3;22,9;24,8;23,9;32;34,5;40;41,5;46,7;48,1;53,1;52,3;56,5;56,1;56;55,2;57;59,9;57,4
Montenegro;;;;;;;;;;;;;;;;;;;;28,1;25,5;31,3;31,3;32,2;35,9;37,7;35,5;38,1;41,7;
North Macedonia;;;;;;;;;;;;;;;12,8;13,6;13,1;16,8;18;22,4;22,6;25,6;28,7;34,5;33,8;36,8;40,4;39,4;45,3;
Malta;;;;;;;;;;13,5;8,2;12,6;16,1;17,3;22;22,5;20,9;23,6;23,8;24,2;27,8;32,6;33,4;34,4;35,2;35;37,8;46,5;46,2;48,3
