Geographicregion;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Austria;;;;9,8;10,2;11,2;9,8;17,2;;;;;22;20,9;21,8;21,6;21,8;22,9;22,3;22,8;25,6;26,4;38,3;37,5;38,3;37,7;37,2;39,3;38;41
Belgium;25,2;26,1;25,4;28,2;28,8;29,1;28,6;28,3;33,3;32,6;31,5;34,2;35,8;34,9;36,6;36,6;37,4;36,4;39;37,1;37,1;36,2;37,4;36,7;40,4;40,8;40,6;39,8;40,2;43,3
Bulgaria;;;;;;;;;16;18,8;17,7;17,9;18,7;18,3;17,8;18,7;19,7;20,4;20,5;20,9;20,5;21,8;23,4;24,8;27,2;25,5;27;26,4;26,6;27,2
Switzerland;;;;;35,7;37,8;36,3;37,6;37,5;38,4;39,3;41,4;42,4;41,8;42,8;43,3;48;48,8;44,9;44;45,3;47,4;48,4;48,6;52,3;54;55,1;55,1;55,7;53,3
Cyprus;;;;;;;;33,2;30,8;33,1;35,9;42,5;43,5;38,9;45,4;44,4;41,3;40,2;41,3;39,7;43,6;41,6;46;46,7;43,9;47,3;49,2;49;49;53,3
Czechia;;;;;;;12,7;14,2;14,4;14;13,7;14,3;13,2;13,1;13,7;13;14,8;16,4;18,6;21,5;22,4;24;24,2;24,7;27,2;27,7;27,3;29,5;29,2;28,6
Germany;27,2;27,5;26,4;27,7;27,3;28,4;;28;28,8;29;26,8;27,5;29,1;28;27,2;27,3;28,3;29,6;29,9;29,9;31;32,2;32;32,2;33,4;33,8;34,5;35,1;36,6;37
Denmark;21,3;23,3;30,3;30;28,7;27,8;27,4;32,1;30,5;28;28,7;35,3;38,7;39;38,7;34,8;36,5;34,5;36;34,9;34;35,8;38,4;38,2;40,2;40,9;41,6;41,6;41,9;44,2
Euro area (19 countries);;;;;;;;;23,2;23,8;23,9;25,2;26,4;27,2;27,2;28,2;28,6;29,2;30,2;30,5;31,1;32,1;32,7;33;33;33,6;34,9;36;37,2;37,8
Estonia;;;;;;;21,2;21,5;21,2;21,1;22,7;22,2;21,3;26,5;26,7;24,4;29;29,6;32,2;30,6;28,3;31,8;32,8;31,5;35,9;37,5;35,2;31,7;30,4;33,5
Greece;21;20,3;21,2;21,5;22,8;22,5;25;23,6;23,9;23,6;22,2;21,9;23,6;23,6;25,5;25,4;23,7;24,3;26,2;26,8;28,1;30,8;32,9;35,3;36,2;37;37,5;36,7;39,2;39,4
Spain;19,1;19,6;20,8;22,1;23,5;24,2;26,4;28;27,9;29,4;31,7;32,6;33,4;35,4;34,4;35,8;36,5;35,3;36,7;37,2;36;37,1;36,8;34,8;33,5;34,8;36,1;38,5;38,7;41,1
European Union - 15 countries (1995-2004);;;;21,5;21,7;22,4;;24,1;24,7;25,3;25,5;26,7;28,1;28,8;29;29,9;30,5;31,4;32,3;32,8;33,6;34,5;35;35,3;35,6;36,1;37,1;38,2;;
European Union - 27 countries (from 2020);;;;;;;;;;;21,4;22,9;24,2;25;25,1;26;26,7;27,5;28,9;29,4;30,2;31,2;32;32,5;32,7;33,2;34,1;35,1;36;36,3
European Union - 28 countries (1993-2020);;;;;;;;;;;22,6;24;25,3;26;26,3;27,2;28;28,9;30,3;31;31,8;32,9;33,6;34;34,4;34,9;35,7;36,6;;
Finland;;;;21,1;22,8;24,2;29,9;32,8;32,9;33,6;33,4;33,7;35;35,4;37,1;39,3;35;36,6;37,7;37,1;36,7;37,6;38,2;38,1;38,4;37,3;36,2;38,6;41,5;37,5
France;;20,3;20,7;20,7;18,9;20,2;23,2;25;25,8;28,3;29;32;32,6;34,9;35,2;37,7;37,1;38,8;39;38,9;38,2;39,4;39,2;40,5;38,3;38,8;40,9;42,5;45,3;44,7
Croatia;;;;;;;;;;;14,8;13,8;14,1;13,7;14,2;12,3;15,3;18,3;21,6;19,5;18,6;21,7;25,6;23,7;22,2;22,1;26,5;24,7;28,2;26,2
Hungary;;;;;;12;12,7;12,6;12,5;13,5;12,8;14,7;15,5;15,2;15,4;16,4;19,1;19,1;21,4;23,6;24,6;26,8;28;27,6;26,4;27;27,3;27,2;27,4;29,3
Ireland;20,2;22,6;23,1;25;27,5;28;;24,5;25,8;28,6;30,9;33,9;35,7;35,5;36,6;40,1;41,9;44,6;46;44,6;45,4;47,4;47;45,9;47,6;48,2;51,7;50,8;54,7;58,5
Iceland;;;;;;;;29,2;31;28,8;33,7;33,7;32,9;32,9;31;35,3;35,5;37,7;34,5;36,1;34,5;36,1;40,4;39,2;42,2;43;41,2;41,3;37,2;37,9
Italy;9;8,3;8,7;8,4;8,9;9,2;9,3;10,3;10,8;11,4;12;12,3;12,8;14,1;14,2;15;14,9;15;15,6;15,9;17,3;17,7;18,8;20;19,9;19,8;21,7;21,6;21,4;20,4
Lithuania;;;;;;;40,2;38,6;37,3;14,8;17;19,7;26,4;34;35,2;30,3;31,3;32,8;36,4;38,2;40,3;41,9;44;47,2;48,1;47,6;47,5;46,9;48,8;49,7
Luxembourg;15,5;28,5;28,7;19,5;20,7;21,5;;22,9;24,7;26;25,6;18,3;33,2;36,7;32;32,4;36,9;48,4;44,8;49,1;50,4;49,2;49,8;46,8;52,7;49,8;52,5;54,5;58,7;57,3
